ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001033,HY190599,03/18/2015 03:00:00 PM,022XX W MAYPOLE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1223,012,2,28,07,1161304,1900968,2015,02/10/2018 03:50:01 PM,41.883938847,-87.683132783,"(41.883938847, -87.683132783)"
10001035,HY190631,03/15/2015 04:30:00 PM,027XX N CLYBOURN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1931,019,32,7,06,1162872,1918208,2015,02/10/2018 03:50:01 PM,41.93121391,-87.676890454,"(41.93121391, -87.676890454)"
10001036,HY190637,03/19/2015 01:30:00 PM,006XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,1834,018,42,8,06,1177316,1904626,2015,02/10/2018 03:50:01 PM,41.893628633,-87.624224612,"(41.893628633, -87.624224612)"
10001037,HY190573,03/19/2015 12:15:00 PM,011XX S MOZART ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,false,1135,011,28,29,08B,1157533,1894885,2015,02/10/2018 03:50:01 PM,41.867324065,-87.697145871,"(41.867324065, -87.697145871)"
10001040,HY190566,03/19/2015 09:36:00 AM,008XX N MICHIGAN AVE,0890,THEFT,FROM BUILDING,OTHER,false,false,1833,018,42,8,06,1177338,1906181,2015,02/10/2018 03:50:01 PM,41.897895128,-87.624096605,"(41.897895128, -87.624096605)"
10001042,HY190617,03/19/2015 01:45:00 PM,021XX N SEDGWICK ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1814,018,43,7,06,1173242,1914468,2015,02/10/2018 03:50:01 PM,41.920727,-87.638894232,"(41.920727, -87.638894232)"
10001050,HY172795,03/05/2015 01:41:00 PM,039XX W ROOSEVELT RD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,true,false,1132,011,24,29,18,1150483,1894425,2015,02/10/2018 03:50:01 PM,41.866202226,-87.723039647,"(41.866202226, -87.723039647)"
10001062,HY172764,03/05/2015 01:40:00 PM,039XX W ROOSEVELT RD,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,1132,011,24,29,18,1150483,1894425,2015,02/10/2018 03:50:01 PM,41.866202226,-87.723039647,"(41.866202226, -87.723039647)"
10001063,HY190374,03/19/2015 07:30:00 AM,004XX S STATE ST,0890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",false,false,0113,001,2,32,06,1176436,1898416,2015,02/10/2018 03:50:01 PM,41.876607964,-87.627644063,"(41.876607964, -87.627644063)"
10001064,HY190601,03/19/2015 01:01:00 PM,009XX N TRUMBULL AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,1121,011,27,23,26,1153203,1906125,2015,02/10/2018 03:50:01 PM,41.898254742,-87.712743633,"(41.898254742, -87.712743633)"
10001065,HY190626,03/19/2015 12:30:00 PM,112XX S WALLACE ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",true,false,2233,022,34,49,08A,1174313,1830380,2015,02/10/2018 03:50:01 PM,41.68995741,-87.637460623,"(41.68995741, -87.637460623)"
10001068,HY190311,03/19/2015 09:30:00 AM,029XX S STATE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0133,001,3,35,04A,1176816,1885437,2014,02/10/2018 03:50:01 PM,41.84098414,-87.626641079,"(41.84098414, -87.626641079)"
